experiment,best_params,mae,rmse,r2,time_s,dataset
KNN (max_k=1),"{'n_neighbors': 5, 'weights': 'distance'}",0.5990918953076289,0.8091537133107376,0.8564507615953855,78.73507833480835,ESOL
KNN (max_k=2),"{'n_neighbors': 5, 'weights': 'distance'}",0.6300028008206849,0.8586676723319776,0.8383450323804567,82.3384256362915,ESOL
KNN (max_k=3),"{'n_neighbors': 5, 'weights': 'distance'}",0.7074170113911733,0.9533543461294874,0.8007274257213889,91.3116774559021,ESOL
KNN (max_k=4),"{'n_neighbors': 3, 'weights': 'distance'}",0.77165537361383,1.0771528412309492,0.7456138325353965,110.43076372146606,ESOL
KNN (max_k=5),"{'n_neighbors': 3, 'weights': 'distance'}",0.8582362357456372,1.2187763108902503,0.6743231878311757,122.3921070098877,ESOL
Random Forest (All Features),"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",0.6171519764011798,0.8356816549737812,0.8468840029082814,67.70046257972717,ESOL
Random Forest (All Features),"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",0.6171519764011798,0.8356816549737812,0.8468840029082814,135.6017289161682,ESOL
KRR (max_k=1),"{'alpha': 1.0, 'gamma': 0.1}",1.6272778861128743,2.3566319366592583,-0.21764964766948047,146.26985120773315,ESOL
KRR (max_k=1),"{'alpha': 10, 'gamma': 0.001}",1.2477221705001935,1.6181262301581492,0.42593162100326587,223.98431038856506,ESOL
KRR (max_k=2),"{'alpha': 10, 'gamma': 0.001}",1.382042940334613,1.8411157287833693,0.25680803413092446,244.10934162139893,ESOL
KRR (max_k=3),"{'alpha': 10, 'gamma': 0.001}",1.8491272271259258,2.4089434270937016,-0.2723073367171518,264.1424469947815,ESOL
KRR (max_k=4),"{'alpha': 10, 'gamma': 0.001}",2.2642069499823263,2.877737563382298,-0.8156879073226688,299.2948305606842,ESOL
KRR (max_k=5),"{'alpha': 1.0, 'gamma': 0.001}",2.2314223169278913,2.9188201432868306,-0.8678994712461243,338.91340947151184,ESOL
